"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation"
"GMB","GM",4916,47664,47664,52576,-16.6984026,13.4314429,1,,,2010,,,50,0,50,1,50,0,1,6138,0,0.02,0,0.0188679245283019,1013.81524811655,22,22,22,17,,,,,,99.2422522307411,12.0989953870872,0.00085256857849542,87.1432557928675,0.756896722392764,4113.71552766777,17.436841612354
"GMB","GM",4916,47667,47667,16722,-16.5790323,13.4548761,1,,,2015,,,0,0,0,0,0,0,1,6059,,,,,607.061625978822,25,25,25,19,,,,,,95.2154461734145,11.5545720156984,0.0951827130833491,83.6608720870908,4.6893721838181,17134.4344117299,4.54483733673333
"GMB","GM",4914,47645,47645,16972,-16.5451491,13.4865118,1,,,2015,,,0,0,0,0,0,0,1,5943,,,,,622.321525821322,28,28,28,21,,,,,,,30.4889120319761,0.286363281332884,81.5888042813296,20.003221494176,179.5,2.78899060985987
"GMB","GM",4913,47635,47635,16783,-14.1161056,13.4886943,1,,,2015,,,0,0,0,0,0,0,1,5868,,,,,217.21879415246,29,29,29,22,,,,,,80.8911414089375,20.95346912545,2.2104931309617,59.9376720667187,16.8983652795726,82,24.3480522035174
"GMB","GM",4913,47635,47635,16784,-15.26569667,13.48819667,3,,,2015,,,50,0,50,1,50,0,1,5867,0,0.02,0,0.0188679245283019,7352.86314821181,30,30,30,23,,,,,,80.3287068012355,32.4008886958035,0.479138764064165,47.9278202566659,19.1921523786828,83.5,11.7084414438427
"GMB","GM",4915,47654,47654,17077,-14.11727,13.48717167,3,,,2015,,,49,0,49,0,49,0,1,6032,0,0,0,0,217.21879415246,31,31,31,24,,,,,,80.8462868915426,20.9549728904523,2.22115826429565,59.8913136018141,16.9325547524763,82,23.9033237103953
"GMB","GM",4916,47664,47664,16944,-16.73420833,13.39795833,3,,,2015,,,50,0,50,3,50,0,1,6155,0,0.06,0,0.0566037735849057,300.378368324038,35,35,35,26,,,,,,,18.9840003960354,0.262038526547849,,11.5712805501616,2363.80004882812,20.4992750560022
"GMB","GM",4915,47655,47655,52594,-14.029701,13.420695,3,,,2005,,,30,0,30,0,30,0,2,6054,0,0,0,0,2566.62205452751,36,36,36,27,,,,,,67.6727979545021,9.55692505482218,0.00325856135333122,58.1158734309914,32.3239446402606,64.1999969482422,16.5345600000017
"GMB","GM",4913,47637,47637,16873,-15.7681278,13.4065482,1,,,2015,,,0,0,0,0,0,0,1,5878,,,,,1743.36151272439,48,48,48,34,,,,,,95.0415135319214,7.61576033278452,0.341341252075113,87.4257504139826,4.617145233947,52.5,13.817720000003
"GMB","GM",4913,47637,47637,16874,-15.78135167,13.39838667,3,,,2015,,,48,1,48,1,48,0,1,5880,0.0208333333333333,0.0208333333333333,0,0.038898715932914,1743.36151272439,49,49,49,35,,,,,,95.1462091971433,7.51970804340591,0.192107941531841,87.6264981244344,4.66168400796347,52.5,22.9108899371968
"GMB","GM",4912,47633,47633,52562,-16.685136,13.4197727,1,,,2010,,,54,1,54,0,54,0,1,5857,0.0185185185185185,0,0,0.0174703004891684,0,50,50,51,36,,,,,,99.561378038461,42.2028110343927,0.000330018467472432,57.3585667176181,0.438292596767815,3849.01805972423,17.5285293772813
"GMB","GM",4912,47633,47633,16828,-16.685136,13.4197727,1,,,2015,,,0,0,0,0,0,0,1,5851,,,,,0,51,51,50,36,,,,,,99.5840583804218,42.1251498876261,0.0051397037905606,57.4589098912088,0.410800658284911,4333.91541495142,17.5285293772813
"GMB","GM",4916,47661,47661,16750,-16.05173667,13.18167333,3,,,2015,,,0,0,0,0,0,0,1,6094,,,,,42.3513901050156,54,54,54,38,8.15864293345185,6.69795337082554,4.35779057220437,1.46068966154704,1.46322560088623,81.1001443423404,22.7835397664043,0.668727172345471,58.3166058459555,18.2311265532738,93.5,39.5048584708824
"GMB","GM",4916,47661,47661,16751,-16.0515269,13.1813643,1,,,2015,,,50,0,50,0,50,0,1,6086,0,0,0,0,42.3513901050156,55,55,55,39,8.59128956529318,7.05398073240836,4.58833160495611,1.53730893634685,1.54170995718578,80.8870495551416,22.7413231976232,0.663300550744186,58.1457276411543,18.4496479710628,93.5,39.5439064657476
"GMB","GM",4916,47667,47667,16723,-16.58434167,13.45608667,3,,,2015,,,50,0,50,30,50,4,1,6058,0,0.6,0.08,0.596226415094339,607.061625978822,56,56,56,40,,,,,,95.2151693470634,12.4332020526042,0.0897617026167028,82.7819651880188,4.69507003166373,8222.97171739285,3.89215468112229
"GMB","GM",4912,47633,47633,16831,-16.67106167,13.42623167,3,,,2015,,,50,0,50,1,50,0,1,5836,0,0.02,0,0.0188679245283019,571.03484200457,57,57,57,41,,,,,,98.154869395659,25.1944667607465,0.0227997508298929,72.9604032055619,1.82233008072813,5001.2998046875,14.5361499900745
"GMB","GM",4915,47652,47652,52584,-14.331977,13.347914,1,,,2010,,,50,0,50,0,50,0,1,6005,0,0,0,0,494.605101833688,64,64,64,45,,,,,,76.8930209375411,27.1257591972338,0.0211921295397746,49.767261331143,23.0857872751103,64.8000030517578,22.961397916785
"GMB","GM",4915,47652,47652,52585,-14.332483,13.343619,3,,,2005,,,30,0,30,0,30,0,2,6007,0,0,0,0,494.605101833688,65,65,65,46,,,,,,76.9318939425889,27.4291440394074,0.00451993407547868,49.5027518943372,23.0635859606098,56.7000007629395,19.272352550388
"GMB","GM",4912,47633,47633,16832,-16.68929667,13.43129167,3,,,2015,,,98,0,98,0,98,0,1,5848,0,0,0,0,753.549687470711,66,66,66,47,,,,,,99.924502214122,14.3752435652278,0.00152460596867456,85.5492591082979,0.0739727873158913,4946.87908572622,15.1606222117602
"GMB","GM",4916,47664,47664,16947,-16.67305167,13.40195,3,,,2015,,,49,1,49,0,49,0,1,6152,0.0204081632653061,0,0,0.0192529842125529,328.128231062892,67,67,67,48,,,,,,94.8834374578625,80.1989879401613,0.0632239081919618,14.6844514601733,5.05333618383245,2480.73196351212,22.8104162128091
"GMB","GM",4912,47633,47633,16833,-16.67987667,13.46126167,3,,,2015,,,49,0,49,0,49,0,1,5814,0,0,0,0,642.987646030397,68,68,68,49,,,,,,100,18.2701141091241,2.46312886768385e-16,81.7298876690814,2.20121927302165e-14,5001.2998046875,17.6212161639247
"GMB","GM",4915,47652,47652,52586,-14.273346,13.406569,3,,,2005,,,30,0,30,1,30,0,2,6006,0,0.0333333333333333,0,0.0314465408805031,3696.70404757076,72,72,72,52,,,,,,82.6261549710875,34.8082467957798,0.00797372208451759,47.8179091285645,17.3658727269861,56.9982733157519,19.4858399999978
"GMB","GM",4911,47623,47623,16762,-14.61191,13.361416,1,,,2015,,,0,0,0,0,0,0,1,5744,,,,,1079.6121576305,73,73,73,53,,,,,,81.5349686730051,18.5716595814636,0.53193568053987,62.9633081113232,17.9330929791248,101.699996948242,45.5341503360041
"GMB","GM",4911,47623,47623,16763,-14.6088,13.37035333,3,,,2015,,,50,0,50,0,50,0,1,5741,0,0,0,0,1079.6121576305,74,74,74,54,,,,,,81.9512856492537,17.977133714381,0.569914630561703,63.9741508511067,17.4787966999928,101.699996948242,45.8336004000012
"GMB","GM",4915,47652,47652,17042,-14.46402,13.503285,3,,,2015,,,48,0,48,0,48,0,1,6011,0,0,0,0,3921.81998872903,77,77,77,56,25.7988605499268,21.7884159088135,14.7385206222534,4.01044321060181,9.46261882781982,67.126758497257,18.2141079194499,1.19086452586423,48.9126522068343,31.6823781880502,71.7315258446575,10.7509020800007
"GMB","GM",4915,47652,47652,52587,-14.40639,13.3835,1,,,2005,,,30,0,30,0,30,0,2,6009,0,0,0,0,3949.49096756916,82,82,82,59,,,,,,81.3948540951757,33.2169181570349,0.0130255939307352,48.1779356961308,18.5921213341042,56.7000007629395,11.6259199999999
"GMB","GM",4911,47631,47631,17027,-14.6391064,13.4745096,1,,,2015,,,0,0,0,0,0,0,1,5791,,,,,276.856384238185,83,83,83,60,,,,,,99.3928564463373,0.545735260606353,0.031058961655676,98.8471214488161,0.576084571966236,52.7999992370605,12.7805600563174
"GMB","GM",4911,47631,47631,52583,-14.640618,13.472589,3,,,2010,,,52,1,52,0,52,0,1,5788,0.0192307692307692,0,0,0.0181422351233672,276.856384238185,84,84,84,61,,,,,,98.8988523813432,1.23367139223222,0.00427846072214592,97.6651807162445,1.09686962213476,46.9000015258789,11.6592598559995
"GMB","GM",4911,47631,47631,17028,-14.63910833,13.469155,3,,,2015,,,49,0,49,1,49,0,1,5792,0,0.0204081632653061,0,0.0192529842125529,427.503143993365,85,85,85,62,,,,,,98.6945065436888,1.17342034935448,0.0667843250004656,97.5210867601286,1.2387090882123,52.7999992370605,11.1236597611196
"GMB","GM",4913,47635,47635,16785,-15.29746667,13.38078,3,,,2015,,,50,0,50,1,50,0,1,5865,0,0.02,0,0.0188679245283019,9459.50042058675,86,86,86,63,22.1378694048445,20.5202135039251,8.85472822591973,1.61765470326006,5.13103622431692,55.4510869134954,3.0910392417701,0.627676847684378,52.3600483534649,43.9212374840871,83.5,20.6950004518428
"GMB","GM",4916,47664,47664,16948,-16.76182833,13.38840333,3,,,2015,,,50,0,50,0,50,0,1,6134,0,0,0,0,645.689451193818,89,89,89,65,,,,,,83.1829534991274,22.483432924858,0.443521401602018,60.6995220018866,16.3735249167532,2363.80004882813,25.1925338977642
"GMB","GM",4914,47645,47645,16975,-16.5171626,13.4786086,1,,,2015,,,0,0,0,0,0,0,1,5944,,,,,1470.15487451402,90,90,90,66,,,,,,,31.3063822435266,0.280391437522239,95.3860796036116,21.6921590593738,179.5,12.6193944015299
"GMB","GM",4914,47645,47645,16976,-16.52984333,13.48219667,3,,,2015,,,50,0,50,1,50,0,1,5939,0,0.02,0,0.0188679245283019,1394.84361990536,91,91,91,67,,,,,,,31.7428254530108,0.272265732207049,88.9050419254245,21.8034794245458,179.5,8.65653535071985
"GMB","GM",4912,47633,47633,16834,-16.6910322,13.4696557,1,,,2015,,,0,0,0,0,0,0,1,5854,,,,,1151.12807569164,92,92,92,68,,,,,,99.8924567694915,25.17041997397,0.00116944852069108,74.7220397396306,0.106373660309257,5001.2998046875,18.9408042950718
"GMB","GM",4912,47633,47633,16835,-16.6661,13.414939,1,,,2015,,,0,0,0,0,0,0,1,5846,,,,,297.37039757604,93,93,93,69,,,,,,95.1896237195437,49.3316156530967,0.0594404285798676,45.8580089844599,4.75093432322167,4983.3022185921,17.1978732799944
"GMB","GM",4916,47662,47662,16905,-16.661741,13.3159871,1,,,2015,,,0,0,0,0,0,0,1,6095,,,,,1282.24967849775,95,95,95,71,,,,,,98.6049053654581,3.77900175369703,0.0356667734796647,94.825903611761,1.35942778396223,446.269173645249,29.782756608161
"GMB","GM",4915,47651,47651,16868,-13.8897501,13.4026933,1,,,2015,,,0,0,0,0,0,0,1,6002,,,,,0,98,98,99,73,,,,,,88.6973842830873,17.5936584916815,0.151473307305566,71.1037241524012,11.1511439293247,138.737282817636,14.3472592098901
"GMB","GM",4915,47651,47651,52565,-13.8897501,13.4026933,1,,,2005,,,31,0,31,0,31,0,2,5999,0,0,0,0,0,99,99,98,73,,,,,,82.9396993460897,31.7396366943842,0.00318258182725005,51.2000625335053,17.0571186759615,107.331243656222,14.3472592098901
"GMB","GM",4911,47623,47623,52558,-14.782556,13.438355,3,,,2010,,,51,0,51,0,51,0,1,5731,0,0,0,0,513.650552714135,106,106,106,77,,,,,,84.2984105943252,31.0423457594646,0.00967227000732069,53.2560653614898,15.6919152195049,93.6999969482422,43.8446589439997
"GMB","GM",4912,47633,47633,16836,-16.67444,13.4401962,1,,,2015,,,0,0,0,0,0,0,1,5823,,,,,577.446981537744,107,107,107,78,,,,,,100,2.07772045161687,2.79566351581478e-17,97.9222797180442,2.49941037540199e-15,5001.2998046875,12.7803141567922
"GMB","GM",4911,47623,47623,16764,-14.778348,13.4401962,1,,,2015,,,50,0,50,0,50,0,1,5734,0,0,0,0,513.650552714135,108,108,108,79,,,,,,89.1521293314294,24.3079986793731,0.112544914881301,64.8441254948464,10.7353280337374,101.699996948242,45.6129619251213
"GMB","GM",4915,47648,47648,52551,-14.311352,13.237221,3,,,2005,,,31,0,31,0,31,0,2,5980,0,0,0,0,423.574276644871,111,111,111,81,55.8136021676478,51.517907830127,14.6295076415373,4.29569294569268,10.2221370475468,47.1666384153636,37.5720309832351,0.127483443863924,9.59460854447481,52.7058780054712,115.488329557581,37.7358833856002
"GMB","GM",4912,47633,47633,16838,-16.67189667,13.46096833,3,,,2015,,,50,1,50,0,50,0,1,5821,0.02,0,0,0.0188679245283019,262.788927603944,114,114,114,82,,,,,,100,18.0879624617742,2.43159404325019e-16,81.912038882951,2.1743343211331e-14,5001.2998046875,13.4776546045502
"GMB","GM",4912,47633,47633,16839,-16.67557167,13.45669833,3,,,2015,,,50,0,50,1,50,0,1,5827,0,0.02,0,0.0188679245283019,92.7366418062537,115,115,115,83,,,,,,100,14.7808193880141,1.98963190427926e-16,85.2191818671013,1.77864249345029e-14,5001.2998046875,15.5426614259127
"GMB","GM",4916,47664,47664,16949,-16.76776167,13.38631833,3,,,2015,,,50,0,50,5,50,0,1,6129,0,0.1,0,0.0943396226415094,133.939594661516,116,116,116,84,,,,,,82.1110704781222,23.010353981277,0.470644133643666,59.1007192143942,17.418284233109,2363.80004882813,11.410606800004
"GMB","GM",4916,47664,47664,16950,-16.76958667,13.38389,3,,,2015,,,50,0,50,2,50,1,1,6153,0,0.04,0.02,0.0558490566037736,225.087352390069,117,117,117,85,,,,,,81.7594649028738,23.1768293470267,0.464086912505382,58.5826389094821,17.7764465321932,2363.80004882812,16.3644000000016
"GMB","GM",4911,47623,47623,16765,-15.207362,13.730301,1,,,2015,,,0,0,0,0,0,0,1,5735,,,,,8727.78324379458,120,120,120,87,1.49936782157313,1.26960127974667,0.57131262978752,0.229766588830895,0.656117945362959,81.1656119689733,16.9032641080842,0.693699046468244,64.262349327546,18.1406915491268,81.0999984741211,19.5235907359885
"GMB","GM",4911,47623,47623,16766,-14.73116,13.37859333,3,,,2015,,,48,2,48,2,48,0,1,5743,0.0416666666666667,0.0416666666666667,0,0.0769785115303983,8791.64386409244,121,121,121,88,51.162955676266,44.1869889361617,24.1252310897566,6.97596627907429,16.0834546920759,50.7396730701521,15.2880063534528,0.469575786583655,35.4516699484212,48.7907476767998,94.1851037746464,50.0925711670381
"GMB","GM",4914,47646,47646,17057,-15.74612,13.5762536,1,,,2015,,,0,0,0,0,0,0,1,5956,,,,,221.385168596275,122,122,122,89,24.2920449141186,24.2918545143014,5.74844259721743,0.000188596866590821,2.97253796388904,67.2295569975156,19.2205343599004,0.397109819655194,48.0090209142572,32.3733344074878,113.300003051758,12.7494537216051
"GMB","GM",4914,47646,47646,17058,-15.74570333,13.57436333,3,,,2015,,,50,0,50,0,50,0,1,5968,0,0,0,0,221.385168596275,123,123,123,90,20.8519108460962,20.8517499242155,5.02988286967876,0.000159358879075981,2.59458344843743,69.5437324534944,19.8116479588833,0.402211526327692,49.732082563878,30.0540573831979,113.300003051758,13.8785968768062
"GMB","GM",4916,47657,47657,52556,-16.292433,13.269622,3,,,2010,,,50,7,50,0,50,0,1,6069,0.14,0,0,0.132075471698113,3620.97620912467,124,124,124,91,,,,,,80.0334697594741,24.5197136562168,0.0370448499513957,55.5137543450771,19.9294875263311,55.0999984741211,12.4612219167999
"GMB","GM",4911,47631,47631,17032,-14.7695962,13.5336211,1,,,2015,,,50,0,50,0,50,0,1,5796,0,0,0,0,5431.90160572944,128,128,128,93,,,,,,99.6581602633547,11.2408915498551,0.0192687896606439,88.4172676180603,0.322571741865448,358.692318966517,6.1381655174087
"GMB","GM",4916,47657,47657,16729,-16.2312539,13.1715653,1,,,2015,,,50,0,50,0,50,0,1,6068,0,0,0,0,3989.79298779286,129,129,129,94,22.2950990807216,18.2051694107437,12.2060064270463,4.08992938799536,3.73782626374682,60.404994593718,20.2338164151384,0.578303936888784,40.171176297027,39.0167002511435,58.4000015258789,28.9929118927523
"GMB","GM",4913,47634,47634,16781,-15.41695333,13.42582833,3,,,2015,,,0,0,0,0,0,0,1,5862,,,,,0,131,131,131,96,,,,,,87.6957780107962,11.0597853285089,0.252569371619515,76.6359901340302,12.0516551780009,55.7000007629395,17.1695591194419
"GMB","GM",4915,47654,47654,17094,-14.19176667,13.47772667,3,,,2015,,,0,0,0,0,0,0,1,6026,,,,,0,133,133,133,97,,,,,,85.2972214052939,22.4741040714916,0.441690298713835,62.8231171886109,14.2610872287832,82,49.0644726643193
"GMB","GM",4911,47627,47627,16991,-15.1916922,13.6218577,1,,,2015,,,0,0,0,0,0,0,1,5757,,,,,0,136,136,136,99,,,,,,84.7205737069661,28.9474367721491,0.0759248762409375,55.7731402798344,15.203498857826,70.1133154665764,10.6671828043166
"GMB","GM",4911,47631,47631,17033,-14.7827242,13.5793082,1,,,2015,,,0,0,0,0,0,0,1,5802,,,,,0,139,139,139,100,,,,,,87.0229471913908,27.700391758049,0.527898272494628,59.3225530382705,12.4491561569611,52.8007243074096,16.8503923873919
"GMB","GM",4913,47639,47639,16887,-15.8268282,13.2739715,1,,,2015,,,50,0,50,9,50,0,1,5891,0,0.18,0,0.169811320754717,0,141,141,141,101,,,,,,75.443002768963,10.4472204171049,0.978724326758742,64.995783159458,23.5782736491655,22.1000003814697,14.7036120000049
"GMB","GM",4911,47628,47628,17002,-15.2553203,13.610159,1,,,2015,,,0,0,0,0,0,0,1,5767,,,,,0,143,143,143,102,,,,,,95.1928421129881,33.0781892159868,0.022991343078979,62.1146526097954,4.7841678739059,46,21.543831029924
"GMB","GM",4916,47663,47663,16918,-16.5731392,13.1872459,1,,,2015,,,0,0,0,0,0,0,1,6126,,,,,0,145,145,145,103,0.546758602220439,0.502003118189162,0.02828362795956,0.0447554776274487,0.0304485091633181,80.8596543393376,17.0276689228461,0.321491877167761,63.8319923004204,18.8188494595408,160.699996948242,26.0446629665275
"GMB","GM",4911,47624,47624,16986,-15.383333,13.75,1,,,2015,,,0,0,0,0,0,0,1,5750,,,,,0,147,147,147,104,24.9545726776123,19.9091033935547,11.096209526062,5.04546928405762,13.94921875,71.2948818924101,12.8315144626192,0.197727326733093,58.4633692074942,28.507391535778,98.0750987628243,34.2505799999862
"GMB","GM",4911,47629,47629,17007,-14.89157333,13.77997167,3,,,2015,,,50,0,50,0,50,0,1,5777,0,0,0,0,0,150,150,150,106,3.93755331542628,3.88530927058897,17.2978856336041,0.0522440902198476,0.70097295181849,64.8312167984491,18.5917343940386,0.230556255367819,46.239483762899,34.9382259087245,69.6580288512186,48.9033996000001
"GMB","GM",4916,47661,47661,16752,-15.995655,13.26651667,3,,,2015,,,0,0,0,0,0,0,1,6085,,,,,0,152,152,152,107,,,,,,82.1589006272744,20.7795515017935,0.731676687971376,61.3793464223934,17.1094241511211,93.0597970154476,18.2721695828861
"GMB","GM",4913,47639,47639,52572,-16.095821,13.399342,3,,,2010,,,50,2,50,0,50,0,1,5906,0.04,0,0,0.0377358490566038,0,154,154,154,108,,,,,,68.1668942629481,14.192537186064,0.0160333553415655,53.9743585021451,31.8170717261115,21.7999992370605,9.9940800000013
"GMB","GM",4913,47639,47639,16890,-16.096895,13.40004833,3,,,2015,,,50,0,50,0,50,0,1,5904,0,0,0,0,144.316265896324,156,156,156,109,,,,,,74.8418689080089,10.9497653434576,0.212046484437172,63.8921051094056,24.9460823643825,22.1000003814697,11.1421667857628
"GMB","GM",4914,47647,47647,52593,-16.2558918,13.4183703,1,,,2010,,,50,0,50,0,50,0,1,5975,0,0,0,0,10177.9836398254,157,157,157,110,,,,,,78.2648240849152,26.8939361602207,0.02553010236538,51.3708850431295,21.7096482407588,71.5,15.5089950459564
"GMB","GM",4916,47663,47663,16920,-16.4612009,13.2002015,1,,,2015,,,0,0,0,0,0,0,1,6123,,,,,0,158,158,158,111,,,,,,79.1114805776302,42.0611287143132,0.259248788469732,37.0503537307378,20.6292721887075,160.699996948242,15.1163544056792
"GMB","GM",4916,47663,47663,16921,-16.4612009,13.2002015,1,,,2015,,,50,1,50,0,50,0,1,6121,0.02,0,0,0.0188679245283019,0,159,159,157,110,,,,,,79.1114805776302,42.0611287143132,0.259248788469732,37.0503537307378,20.6292721887075,160.699996948242,15.1163544056792
"GMB","GM",4916,47660,47660,16748,-15.81423,13.16949833,3,,,2015,,,0,0,0,0,0,0,1,6082,,,,,0,161,161,161,113,48.7305792520009,41.6015708081106,30.3393799737824,7.12900861948593,14.129701046913,43.4378082564267,15.9563150563407,0.145975126763477,27.4814934540743,56.416217758529,81.3021799877448,21.774714806082
"GMB","GM",4916,47657,47657,16735,-16.3117979,13.2441831,1,,,2015,,,0,0,0,0,0,0,1,6061,,,,,0,163,163,163,114,,,,,,82.6274743678936,16.6207918823579,0.351028987698296,66.0066764555905,17.0214995637478,63.657743061806,10.7013909797771
"GMB","GM",4916,47661,47661,16754,-16.0427102,13.2294462,1,,,2015,,,0,0,0,0,0,0,1,6091,,,,,0,165,165,165,115,,,,,,91.4486716713154,14.1689217113043,0.403444522653565,77.2797482784882,8.14788530546624,93.5,21.6390720000092
"GMB","GM",4912,47633,47633,16841,-16.6733441,13.4540922,1,,,2015,,,0,0,0,0,0,0,1,5810,,,,,121.995029960293,167,167,167,116,,,,,,100,12.7831079000317,1.71934654416684e-16,87.2168931035002,1.53727537999167e-14,5001.2998046875,13.7961236546798
"GMB","GM",4912,47633,47633,16842,-16.6696578,13.4602404,1,,,2015,,,0,0,0,0,0,0,1,5812,,,,,262.788927603944,168,168,168,117,,,,,,100,17.5387542930726,2.35587072532041e-16,82.4612468980679,2.10697512433996e-14,5001.2998046875,11.9589635714474
"GMB","GM",4916,47657,47657,16736,-16.271725,13.229515,3,,,2015,,,0,0,0,0,0,0,1,6070,,,,,0,170,170,170,119,,,,,,75.0681551580256,17.7669315860346,0.505809596234782,57.3012215008493,24.4260350878226,58.4000015258789,28.2410178000068
"GMB","GM",4916,47661,47661,16757,-16.10054333,13.18383833,3,,,2015,,,0,0,0,0,0,0,1,6089,,,,,0,172,172,172,120,5.12971707884399,4.16025616690481,2.65689689147244,0.969460919198723,0.99704514287948,76.493002275222,22.8318194928458,0.580747866681762,53.6611764262315,22.9262533915419,93.5,37.5014031999993
"GMB","GM",4916,47662,47662,16906,-16.69092,13.24885167,3,,,2015,,,0,0,0,0,0,0,1,6107,,,,,0,174,174,174,121,,,,,,92.365135072211,9.62583543138312,0.0706336758125776,82.7393008127508,7.56422984439363,881.200012207031,21.2507671791998
"GMB","GM",4914,47643,47643,16797,-15.5192291,13.5461508,1,,,2015,,,49,0,49,0,49,0,1,5910,0,0,0,0,0,176,176,176,122,,,,,,85.7599915983337,20.2402789468789,0.348078268877208,65.5197107726942,13.8919312389889,113.300003051758,21.3220995695388
"GMB","GM",4914,47646,47646,17060,-15.7541892,13.507686,1,,,2015,,,50,0,50,0,50,0,1,5971,0,0,0,0,7692.93099216149,178,178,178,123,,,,,,82.9476467739739,22.0245874676849,0.617472183788921,60.9230593062889,16.4348820807966,113.300003051758,16.7091240934349
"GMB","GM",4911,47629,47629,52582,-14.874342,13.584397,3,,,2010,,,52,0,52,0,52,0,1,5773,0,0,0,0,9984.62024217844,179,179,179,124,,,,,,72.3970532352852,23.6509948787989,0.0390715674107431,48.7460592273053,27.5638746757858,60.7000007629394,13.3566799999987
"GMB","GM",4916,47662,47662,16908,-16.62777351,13.28956758,3,,,2015,,,0,0,0,0,0,0,1,6096,,,,,494.989280299021,180,180,180,125,,,,,,99.9218724977926,0.11249846453112,0.000310092073786777,99.8093731741889,0.0778184392158924,881.200012207031,22.0037264088222
"GMB","GM",4911,47623,47623,16767,-14.592715,13.44960167,3,,,2015,,,0,0,0,0,0,0,1,5736,,,,,0,183,183,183,128,,,,,,93.6372681286983,7.52537887000263,0.285331292692085,86.1118868206672,6.07740046992307,101.699996948242,13.8287728206413
